CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
empty, 0, 26, 3, 3, 3, 7, 6, 4, 5, 0, 0, 50, 29, 21, 18, 11, 7, 7, 86505, 1 
empty, 0, 23, 4, 2, 6, 5, 7, 4, 6, 0, 0, 58, 20, 17, 12, 7, 6, 6, 87510, 2 
empty, 0, 24, 4, 4, 8, 6, 8, 2, 7, 0, 0, 48, 22, 16, 12, 8, 7, 7, 88515, 3 
empty, 0, 26, 11, 12, 7, 4, 8, 2, 5, 0, 0, 44, 28, 16, 14, 9, 8, 9, 89559, 4 
empty, 0, 33, 6, 9, 2, 4, 4, 2, 3, 0, 0, 50, 37, 19, 16, 10, 9, 9, 90568, 5 
empty, 0, 26, 8, 4, 2, 2, 4, 2, 6, 0, 0, 61, 50, 23, 18, 13, 11, 11, 91579, 6 
empty, 0, 24, 3, 7, 7, 2, 2, 2, 9, 0, 0, 60, 47, 24, 18, 12, 11, 11, 92590, 7 
empty, 0, 32, 5, 4, 6, 3, 5, 1, 8, 0, 0, 54, 42, 22, 15, 11, 10, 10, 93645, 8 
empty, 0, 32, 4, 11, 7, 2, 8, 2, 8, 0, 0, 42, 43, 25, 15, 12, 11, 9, 94658, 9 
empty, 0, 33, 4, 6, 3, 5, 6, 2, 4, 0, 0, 40, 39, 23, 16, 11, 10, 9, 95673, 10 
empty, 0, 30, 5, 5, 7, 4, 4, 4, 5, 0, 0, 56, 45, 22, 18, 13, 10, 8, 96731, 11 
empty, 0, 27, 5, 6, 5, 6, 6, 3, 8, 0, 0, 65, 46, 23, 21, 14, 11, 10, 97748, 12 
empty, 0, 27, 13, 8, 9, 1, 3, 3, 5, 0, 0, 75, 46, 21, 20, 16, 11, 11, 98803, 13 
empty, 0, 22, 9, 4, 5, 6, 4, 3, 4, 0, 0, 80, 47, 21, 20, 15, 12, 10, 99816, 14 
empty, 0, 26, 4, 2, 2, 2, 2, 1, 6, 0, 0, 72, 48, 25, 22, 16, 12, 9, 100873, 15 
empty, 0, 32, 14, 10, 3, 6, 6, 2, 4, 0, 0, 72, 48, 25, 23, 16, 12, 9, 101890, 16 
empty, 0, 22, 15, 10, 3, 5, 2, 7, 6, 0, 0, 70, 42, 22, 22, 13, 12, 8, 102964, 17 
empty, 0, 33, 13, 13, 6, 5, 6, 3, 8, 0, 0, 68, 40, 21, 23, 13, 12, 9, 104065, 18 
empty, 0, 23, 17, 11, 4, 2, 9, 1, 6, 0, 0, 75, 39, 23, 23, 12, 13, 10, 105159, 19 
empty, 0, 25, 14, 4, 3, 4, 7, 4, 7, 0, 0, 76, 39, 20, 20, 13, 14, 9, 106185, 20 
empty, 0, 23, 10, 7, 9, 2, 7, 2, 7, 0, 0, 76, 42, 22, 20, 13, 13, 8, 107237, 21 
empty, 0, 26, 8, 8, 6, 4, 5, 3, 7, 0, 0, 67, 42, 20, 18, 11, 12, 8, 108312, 22 
empty, 0, 34, 16, 13, 4, 5, 7, 1, 2, 0, 0, 67, 49, 22, 17, 12, 12, 8, 109332, 23 
empty, 0, 25, 5, 7, 8, 2, 7, 4, 7, 0, 0, 56, 54, 26, 17, 13, 15, 11, 110370, 24 
empty, 0, 28, 8, 5, 5, 3, 5, 1, 6, 0, 0, 55, 52, 23, 16, 12, 15, 12, 111449, 25 
empty, 0, 23, 12, 12, 2, 8, 9, 3, 5, 0, 0, 51, 60, 25, 18, 13, 16, 11, 112528, 26 
empty, 0, 30, 8, 5, 7, 6, 4, 4, 9, 0, 0, 40, 52, 25, 20, 14, 14, 10, 113608, 27 
empty, 0, 25, 7, 6, 4, 3, 7, 2, 6, 0, 0, 43, 52, 24, 21, 13, 12, 8, 114651, 28 
empty, 0, 34, 4, 3, 4, 7, 6, 2, 5, 0, 0, 41, 40, 19, 23, 14, 9, 7, 115733, 29 
empty, 0, 34, 14, 8, 3, 5, 4, 1, 7, 0, 0, 54, 35, 19, 25, 16, 9, 7, 116817, 30 
empty, 0, 27, 4, 5, 7, 1, 4, 2, 4, 0, 0, 82, 42, 19, 24, 14, 8, 6, 117906, 31 
empty, 0, 27, 7, 3, 6, 5, 2, 2, 7, 0, 0, 88, 40, 19, 24, 13, 7, 5, 118997, 32 
empty, 0, 31, 4, 6, 2, 2, 5, 2, 5, 0, 0, 89, 38, 21, 22, 11, 6, 6, 120048, 33 
empty, 0, 25, 10, 9, 9, 6, 4, 4, 7, 0, 0, 75, 36, 19, 21, 10, 7, 7, 121139, 34 
empty, 0, 21, 4, 4, 6, 4, 5, 2, 4, 0, 0, 64, 38, 21, 21, 12, 8, 8, 122233, 35 
empty, 0, 34, 8, 7, 9, 3, 7, 2, 6, 0, 0, 66, 58, 28, 21, 13, 9, 10, 123331, 36 
empty, 0, 31, 5, 6, 3, 5, 4, 2, 4, 0, 0, 63, 64, 32, 19, 14, 9, 10, 124432, 37 
empty, 0, 26, 9, 8, 8, 6, 6, 3, 4, 0, 0, 57, 59, 31, 18, 14, 9, 10, 125535, 38 
empty, 0, 24, 5, 3, 3, 1, 7, 3, 6, 0, 0, 44, 43, 27, 16, 12, 9, 9, 126641, 39 
empty, 0, 26, 7, 2, 2, 7, 11, 5, 6, 0, 0, 45, 35, 23, 19, 13, 10, 9, 127747, 40 
empty, 0, 26, 5, 2, 3, 7, 6, 2, 3, 0, 0, 51, 34, 25, 20, 12, 11, 9, 128847, 41 
empty, 0, 23, 12, 6, 3, 3, 6, 3, 6, 0, 0, 52, 28, 21, 18, 14, 14, 10, 129950, 42 
empty, 0, 24, 6, 6, 7, 2, 10, 4, 6, 0, 0, 58, 31, 22, 18, 15, 14, 10, 131053, 43 
empty, 0, 30, 11, 4, 6, 7, 5, 3, 5, 0, 0, 54, 30, 19, 16, 14, 13, 9, 132159, 44 
empty, 0, 24, 6, 3, 3, 3, 5, 3, 7, 0, 0, 53, 23, 16, 15, 14, 13, 8, 133180, 45 
empty, 0, 32, 9, 8, 8, 7, 3, 3, 7, 0, 0, 55, 27, 18, 15, 13, 10, 7, 134232, 46 
empty, 0, 28, 9, 4, 8, 5, 6, 2, 6, 0, 0, 56, 26, 20, 16, 13, 10, 8, 135247, 47 
empty, 1, 29, 16, 7, 3, 4, 7, 3, 7, 0, 0, 64, 32, 22, 18, 14, 10, 9, 136364, 48 
empty, 2, 26, 11, 4, 3, 7, 3, 1, 6, 0, 0, 63, 38, 23, 19, 15, 11, 9, 137480, 49 
empty, 3, 19, 6, 3, 3, 4, 6, 2, 5, 0, 0, 65, 41, 21, 18, 15, 12, 8, 138595, 50 
empty, 3, 28, 7, 5, 2, 8, 5, 5, 3, 0, 0, 65, 41, 21, 17, 14, 14, 9, 139617, 51 
empty, 3, 28, 3, 3, 4, 5, 4, 4, 2, 0, 0, 55, 36, 18, 16, 12, 13, 8, 140641, 52 
empty, 3, 23, 10, 3, 8, 1, 5, 3, 3, 0, 0, 67, 34, 17, 16, 10, 12, 9, 141765, 53 
empty, 5, 33, 11, 3, 6, 2, 6, 3, 2, 0, 0, 63, 29, 15, 17, 10, 11, 9, 142889, 54 
empty, 7, 28, 7, 6, 3, 4, 6, 2, 5, 0, 0, 74, 37, 21, 17, 11, 10, 9, 143916, 55 
empty, 12, 28, 4, 5, 5, 6, 5, 2, 4, 0, 0, 69, 38, 25, 17, 12, 9, 7, 145042, 56 
empty, 13, 21, 6, 5, 8, 4, 5, 2, 6, 0, 0, 59, 34, 26, 17, 12, 10, 7, 146072, 57 
empty, 13, 17, 6, 2, 6, 7, 4, 2, 4, 0, 0, 53, 34, 28, 17, 12, 10, 7, 147202, 58 
empty, 13, 22, 3, 2, 3, 2, 7, 2, 5, 0, 0, 43, 28, 25, 17, 11, 10, 6, 148240, 59 
empty, 11, 33, 4, 3, 3, 5, 5, 3, 3, 0, 0, 43, 26, 21, 19, 12, 10, 7, 149243, 60 
