CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
jump, 28, 48, 100, 100, 41, 22, 25, 16, 6, 0, 0, 100, 100, 100, 100, 94, 83, 78, 1746991, 1 
jump, 34, 18, 66, 69, 28, 11, 18, 16, 3, 0, 0, 100, 100, 100, 85, 71, 69, 47, 1748077, 2 
jump, 32, 25, 32, 49, 24, 35, 14, 9, 8, 0, 0, 100, 100, 100, 96, 77, 81, 54, 1749163, 3 
jump, 35, 34, 66, 67, 47, 14, 9, 17, 7, 0, 0, 100, 100, 100, 100, 85, 91, 67, 1750290, 4 
jump, 23, 26, 98, 82, 19, 11, 13, 8, 15, 0, 0, 100, 100, 100, 100, 89, 100, 79, 1751376, 5 
jump, 31, 38, 100, 100, 48, 32, 17, 11, 11, 0, 0, 100, 100, 100, 100, 91, 100, 84, 1752462, 6 
jump, 27, 36, 100, 57, 25, 23, 10, 8, 2, 0, 0, 100, 100, 100, 100, 85, 100, 78, 1753591, 7 
jump, 22, 30, 70, 45, 50, 45, 15, 4, 5, 0, 0, 100, 100, 100, 100, 87, 96, 67, 1754680, 8 
jump, 29, 56, 100, 100, 36, 25, 17, 21, 18, 0, 0, 100, 100, 100, 100, 100, 100, 69, 1755771, 9 
jump, 32, 32, 73, 63, 40, 41, 16, 12, 17, 0, 0, 100, 100, 100, 100, 92, 93, 72, 1756775, 10 
jump, 32, 39, 100, 80, 18, 15, 5, 14, 15, 0, 0, 100, 100, 100, 100, 98, 99, 76, 1757869, 11 
jump, 30, 28, 93, 69, 10, 15, 14, 17, 28, 0, 0, 100, 100, 100, 100, 100, 100, 83, 1758875, 12 
jump, 29, 22, 89, 65, 36, 35, 16, 5, 11, 0, 0, 100, 100, 100, 100, 92, 98, 86, 1759975, 13 
jump, 36, 47, 100, 88, 14, 17, 18, 24, 23, 0, 0, 100, 100, 100, 100, 92, 100, 96, 1760987, 14 
jump, 34, 32, 100, 100, 26, 13, 12, 11, 21, 0, 0, 100, 100, 100, 100, 90, 100, 100, 1762095, 15 
jump, 35, 44, 100, 99, 16, 23, 19, 12, 25, 0, 0, 100, 100, 100, 100, 86, 95, 100, 1763108, 16 
jump, 34, 44, 100, 100, 75, 35, 16, 17, 14, 0, 0, 100, 100, 100, 100, 77, 93, 100, 1764216, 17 
jump, 32, 45, 95, 48, 33, 32, 16, 2, 3, 0, 0, 100, 100, 100, 100, 71, 76, 97, 1765231, 18 
jump, 32, 34, 100, 100, 21, 10, 9, 5, 7, 0, 0, 100, 100, 100, 100, 69, 72, 96, 1766342, 19 
jump, 35, 29, 64, 41, 10, 16, 7, 19, 18, 0, 0, 100, 100, 100, 100, 65, 71, 93, 1767363, 20 
jump, 38, 27, 44, 17, 24, 10, 5, 12, 20, 0, 0, 100, 100, 100, 100, 68, 70, 93, 1768387, 21 
jump, 42, 34, 41, 43, 23, 35, 16, 8, 15, 0, 0, 100, 100, 100, 100, 67, 73, 93, 1769415, 22 
jump, 36, 44, 100, 74, 41, 45, 13, 13, 19, 0, 0, 100, 100, 100, 100, 71, 85, 96, 1770534, 23 
jump, 29, 31, 62, 79, 44, 13, 11, 24, 26, 0, 0, 100, 100, 100, 100, 76, 83, 100, 1771563, 24 
jump, 35, 66, 100, 100, 27, 12, 16, 18, 6, 0, 0, 100, 100, 100, 100, 80, 100, 100, 1772597, 25 
jump, 29, 20, 100, 100, 27, 23, 13, 9, 18, 0, 0, 100, 100, 100, 100, 73, 100, 100, 1773630, 26 
jump, 20, 17, 55, 79, 52, 18, 7, 7, 4, 0, 0, 100, 100, 100, 100, 77, 100, 100, 1774760, 27 
jump, 34, 31, 84, 73, 32, 23, 15, 10, 11, 0, 0, 100, 100, 100, 100, 83, 100, 100, 1775798, 28 
jump, 39, 47, 100, 100, 57, 30, 5, 14, 9, 0, 0, 100, 100, 100, 98, 82, 100, 94, 1776837, 29 
jump, 28, 21, 89, 100, 39, 10, 13, 11, 18, 0, 0, 100, 100, 100, 100, 93, 100, 86, 1777880, 30 
jump, 29, 23, 26, 49, 39, 15, 10, 15, 18, 0, 0, 100, 100, 100, 100, 79, 78, 74, 1778924, 31 
jump, 34, 22, 37, 30, 12, 8, 16, 16, 11, 0, 0, 100, 100, 100, 100, 78, 78, 75, 1779968, 32 
jump, 36, 32, 27, 22, 19, 14, 15, 16, 8, 0, 0, 100, 100, 100, 100, 91, 89, 75, 1781013, 33 
jump, 19, 11, 48, 63, 34, 19, 14, 16, 11, 0, 0, 100, 100, 100, 92, 88, 91, 75, 1782061, 34 
jump, 32, 29, 55, 57, 26, 18, 19, 17, 12, 0, 0, 100, 100, 100, 100, 100, 100, 76, 1783111, 35 
jump, 34, 23, 100, 100, 48, 24, 10, 14, 12, 0, 0, 100, 100, 100, 100, 97, 96, 73, 1784163, 36 
jump, 26, 23, 26, 42, 28, 21, 6, 9, 8, 0, 0, 100, 100, 100, 97, 91, 97, 77, 1785241, 37 
jump, 33, 27, 100, 100, 32, 13, 9, 5, 11, 0, 0, 100, 100, 100, 98, 82, 87, 74, 1786295, 38 
jump, 34, 32, 75, 70, 46, 17, 17, 17, 7, 0, 0, 100, 100, 100, 96, 81, 86, 84, 1787350, 39 
jump, 43, 37, 98, 91, 21, 13, 16, 20, 21, 0, 0, 100, 100, 100, 94, 81, 81, 87, 1788413, 40 
jump, 25, 18, 55, 45, 40, 13, 9, 8, 14, 0, 0, 100, 100, 100, 99, 80, 80, 84, 1789514, 41 
jump, 37, 24, 59, 70, 16, 8, 9, 10, 15, 0, 0, 100, 100, 100, 100, 83, 85, 87, 1790577, 42 
jump, 21, 23, 17, 23, 46, 22, 20, 23, 14, 0, 0, 100, 100, 100, 100, 85, 85, 80, 1791643, 43 
jump, 31, 26, 44, 54, 26, 12, 6, 5, 23, 0, 0, 100, 100, 100, 99, 85, 100, 84, 1792748, 44 
jump, 29, 23, 57, 46, 39, 7, 23, 17, 13, 0, 0, 100, 100, 100, 100, 86, 99, 84, 1793854, 45 
jump, 28, 25, 48, 59, 17, 16, 11, 15, 13, 0, 0, 100, 100, 100, 100, 93, 100, 92, 1794957, 46 
jump, 27, 31, 49, 54, 41, 8, 12, 8, 27, 0, 0, 100, 100, 100, 100, 90, 100, 97, 1795972, 47 
jump, 27, 21, 81, 100, 30, 22, 3, 6, 3, 0, 0, 100, 100, 100, 100, 88, 100, 96, 1797051, 48 
jump, 29, 28, 100, 100, 15, 9, 18, 15, 7, 0, 0, 100, 100, 100, 100, 91, 91, 93, 1798097, 49 
jump, 31, 23, 26, 22, 35, 18, 13, 24, 10, 0, 0, 100, 100, 100, 100, 92, 90, 86, 1799109, 50 
jump, 27, 19, 59, 53, 17, 9, 14, 13, 8, 0, 0, 100, 100, 100, 97, 95, 94, 82, 1800129, 51 
jump, 30, 25, 66, 64, 25, 33, 20, 4, 17, 0, 0, 100, 100, 100, 100, 100, 95, 84, 1801238, 52 
jump, 27, 19, 47, 72, 19, 16, 4, 9, 17, 0, 0, 100, 100, 100, 100, 100, 100, 80, 1802253, 53 
jump, 28, 35, 100, 100, 65, 4, 12, 6, 11, 0, 0, 100, 100, 100, 93, 100, 100, 79, 1803365, 54 
jump, 38, 32, 100, 71, 32, 29, 8, 15, 21, 0, 0, 100, 100, 100, 100, 100, 100, 82, 1804386, 55 
jump, 34, 38, 76, 70, 23, 33, 4, 21, 14, 0, 0, 100, 100, 100, 98, 100, 100, 88, 1805501, 56 
jump, 32, 35, 65, 75, 35, 16, 8, 15, 5, 0, 0, 100, 100, 100, 99, 85, 94, 89, 1806524, 57 
jump, 25, 36, 100, 100, 29, 29, 10, 12, 11, 0, 0, 100, 100, 100, 100, 86, 100, 100, 1807547, 58 
jump, 26, 29, 46, 50, 34, 27, 17, 17, 28, 0, 0, 100, 100, 100, 100, 90, 100, 100, 1808668, 59 
jump, 41, 22, 100, 100, 16, 18, 6, 17, 8, 0, 0, 100, 100, 100, 100, 93, 100, 100, 1809698, 60 
