CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
stand, 33, 26, 43, 37, 11, 4, 8, 6, 4, 0, 0, 100, 100, 100, 73, 55, 38, 25, 792656, 1 
stand, 31, 23, 58, 51, 6, 10, 6, 8, 4, 0, 0, 100, 100, 100, 69, 88, 100, 100, 594766, 2 
stand, 34, 27, 57, 45, 4, 7, 10, 12, 10, 0, 0, 100, 100, 100, 66, 63, 87, 75, 595823, 3 
stand, 39, 28, 10, 16, 15, 12, 5, 4, 9, 0, 0, 100, 100, 100, 62, 60, 84, 65, 596919, 4 
stand, 38, 33, 48, 22, 20, 11, 10, 4, 4, 0, 0, 100, 100, 100, 70, 64, 80, 58, 597979, 5 
stand, 38, 44, 100, 94, 22, 17, 6, 12, 12, 0, 0, 100, 100, 100, 84, 73, 81, 59, 599039, 6 
stand, 32, 25, 38, 32, 21, 2, 8, 7, 9, 0, 0, 100, 100, 100, 93, 68, 63, 49, 600137, 7 
stand, 28, 21, 92, 92, 22, 3, 2, 6, 5, 0, 0, 100, 100, 100, 99, 67, 57, 40, 601198, 8 
stand, 31, 22, 70, 93, 41, 12, 10, 12, 9, 0, 0, 100, 100, 100, 88, 59, 57, 45, 602261, 9 
stand, 40, 48, 100, 100, 27, 4, 8, 10, 2, 0, 0, 100, 100, 100, 82, 51, 55, 45, 603364, 10 
stand, 32, 30, 88, 81, 30, 16, 12, 11, 8, 0, 0, 100, 100, 100, 77, 55, 56, 43, 604432, 11 
stand, 34, 32, 44, 32, 7, 8, 8, 9, 4, 0, 0, 100, 100, 100, 89, 56, 49, 41, 605539, 12 
stand, 38, 45, 100, 77, 41, 19, 12, 11, 4, 0, 0, 100, 100, 100, 98, 56, 47, 34, 606608, 13 
stand, 35, 32, 100, 100, 24, 3, 7, 6, 9, 0, 0, 100, 100, 100, 100, 63, 53, 34, 607723, 14 
stand, 26, 23, 90, 88, 14, 3, 9, 7, 6, 0, 0, 100, 100, 100, 78, 60, 60, 34, 608800, 15 
stand, 32, 30, 100, 100, 20, 11, 5, 8, 3, 0, 0, 100, 100, 100, 93, 84, 80, 36, 609916, 16 
stand, 34, 27, 28, 32, 13, 6, 1, 3, 6, 0, 0, 100, 100, 100, 77, 91, 94, 41, 610994, 17 
stand, 37, 25, 16, 30, 15, 8, 10, 9, 3, 0, 0, 100, 100, 100, 70, 88, 96, 41, 612115, 18 
stand, 30, 21, 37, 37, 11, 5, 6, 7, 4, 0, 0, 100, 100, 100, 59, 80, 83, 37, 613239, 19 
stand, 26, 23, 17, 16, 8, 1, 6, 4, 5, 0, 0, 100, 100, 100, 38, 59, 62, 26, 614320, 20 
stand, 31, 40, 100, 100, 17, 8, 9, 7, 3, 0, 0, 100, 100, 100, 40, 59, 60, 25, 615444, 21 
stand, 28, 22, 100, 86, 10, 5, 8, 9, 2, 0, 0, 100, 100, 100, 51, 78, 81, 32, 616449, 22 
stand, 27, 19, 24, 19, 11, 12, 12, 8, 8, 0, 0, 100, 100, 100, 80, 100, 95, 42, 617458, 23 
stand, 36, 26, 53, 49, 15, 6, 4, 5, 2, 0, 0, 100, 100, 100, 88, 100, 100, 45, 618554, 24 
stand, 31, 28, 100, 95, 23, 10, 6, 13, 13, 0, 0, 100, 100, 100, 85, 95, 85, 43, 619567, 25 
stand, 33, 26, 20, 15, 7, 8, 3, 7, 6, 0, 0, 100, 100, 100, 91, 78, 59, 35, 620580, 26 
stand, 35, 26, 44, 25, 10, 8, 7, 9, 12, 0, 0, 100, 100, 100, 72, 54, 48, 28, 621597, 27 
stand, 30, 26, 33, 37, 20, 8, 2, 6, 8, 0, 0, 100, 100, 100, 70, 59, 51, 30, 622612, 28 
stand, 24, 25, 3, 13, 9, 5, 1, 6, 2, 0, 0, 100, 100, 100, 72, 57, 50, 26, 623718, 29 
stand, 27, 20, 35, 47, 21, 3, 4, 4, 1, 0, 0, 100, 100, 100, 74, 57, 58, 27, 624736, 30 
stand, 27, 20, 24, 21, 9, 8, 9, 2, 6, 0, 0, 100, 100, 100, 71, 56, 56, 22, 625755, 31 
stand, 37, 27, 28, 19, 2, 8, 8, 2, 5, 0, 0, 100, 100, 100, 65, 41, 48, 21, 626781, 32 
stand, 32, 25, 15, 13, 10, 10, 4, 8, 6, 0, 0, 100, 100, 100, 58, 41, 49, 21, 627804, 33 
stand, 29, 34, 78, 48, 14, 9, 5, 6, 4, 0, 0, 100, 100, 100, 57, 39, 42, 18, 628830, 34 
stand, 23, 25, 42, 55, 26, 10, 10, 6, 4, 0, 0, 100, 100, 100, 62, 35, 38, 18, 629865, 35 
stand, 32, 26, 11, 9, 9, 7, 10, 8, 5, 0, 0, 100, 100, 100, 65, 36, 36, 16, 630894, 36 
stand, 29, 23, 17, 21, 6, 12, 7, 7, 5, 0, 0, 100, 100, 100, 84, 51, 39, 18, 631925, 37 
stand, 29, 17, 50, 42, 11, 6, 7, 6, 3, 0, 0, 100, 100, 100, 81, 53, 38, 19, 632959, 38 
stand, 29, 29, 53, 56, 19, 14, 8, 5, 2, 0, 0, 100, 100, 100, 84, 54, 31, 18, 634055, 39 
stand, 32, 28, 40, 46, 28, 9, 1, 7, 5, 0, 0, 100, 100, 100, 76, 58, 33, 17, 635094, 40 
stand, 27, 22, 10, 17, 13, 2, 7, 8, 2, 0, 0, 100, 100, 100, 60, 49, 31, 17, 636133, 41 
stand, 29, 25, 9, 41, 21, 2, 4, 3, 6, 0, 0, 100, 100, 100, 50, 47, 29, 18, 637175, 42 
stand, 21, 18, 36, 27, 1, 5, 7, 8, 8, 0, 0, 100, 100, 100, 56, 40, 29, 19, 638217, 43 
stand, 17, 14, 35, 34, 9, 13, 6, 2, 4, 0, 0, 100, 100, 100, 55, 36, 32, 22, 639261, 44 
stand, 36, 31, 44, 60, 25, 11, 7, 8, 8, 0, 0, 100, 100, 100, 72, 46, 36, 26, 640386, 45 
stand, 44, 30, 18, 29, 14, 8, 4, 2, 2, 0, 0, 100, 100, 100, 76, 49, 50, 35, 641434, 46 
stand, 33, 25, 48, 43, 6, 12, 6, 2, 4, 0, 0, 100, 100, 100, 72, 47, 66, 44, 642482, 47 
stand, 31, 24, 18, 18, 9, 8, 4, 1, 2, 0, 0, 100, 100, 100, 69, 48, 73, 46, 643571, 48 
stand, 38, 28, 29, 27, 6, 2, 9, 13, 3, 0, 0, 100, 100, 100, 67, 42, 70, 43, 644622, 49 
stand, 35, 28, 21, 26, 22, 10, 6, 8, 6, 0, 0, 100, 100, 100, 69, 46, 70, 34, 645717, 50 
stand, 26, 22, 59, 61, 11, 10, 11, 7, 2, 0, 0, 100, 100, 100, 65, 50, 56, 29, 646774, 51 
stand, 36, 27, 17, 28, 14, 8, 8, 5, 3, 0, 0, 100, 100, 100, 63, 55, 53, 26, 647875, 52 
stand, 34, 27, 3, 7, 9, 8, 2, 4, 5, 0, 0, 100, 100, 100, 56, 55, 50, 26, 648935, 53 
stand, 29, 24, 70, 75, 20, 10, 12, 4, 2, 0, 0, 100, 100, 100, 45, 52, 39, 25, 650036, 54 
stand, 35, 30, 69, 53, 8, 12, 13, 12, 12, 0, 0, 100, 100, 100, 47, 49, 46, 27, 651099, 55 
stand, 36, 30, 69, 49, 21, 9, 4, 11, 11, 0, 0, 100, 100, 100, 75, 69, 59, 39, 652203, 56 
stand, 32, 26, 74, 91, 38, 9, 14, 9, 1, 0, 0, 100, 100, 100, 96, 89, 70, 45, 653269, 57 
stand, 28, 24, 39, 42, 21, 16, 12, 9, 4, 0, 0, 100, 100, 100, 100, 100, 81, 50, 654374, 58 
stand, 35, 50, 100, 100, 13, 15, 12, 12, 5, 0, 0, 100, 100, 100, 100, 100, 79, 48, 655480, 59 
stand, 35, 26, 28, 54, 23, 11, 14, 9, 10, 0, 0, 100, 100, 100, 94, 100, 80, 46, 656548, 60 
