CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
jump, 37, 40, 79, 61, 38, 33, 26, 10, 19, 0, 0, 100, 100, 100, 100, 69, 80, 95, 1456109, 1 
jump, 38, 29, 55, 29, 33, 20, 20, 11, 9, 0, 0, 100, 100, 100, 80, 65, 65, 42, 1457215, 2 
jump, 27, 24, 100, 96, 44, 23, 4, 14, 7, 0, 0, 100, 100, 100, 90, 71, 85, 61, 1458230, 3 
jump, 39, 35, 47, 56, 11, 27, 31, 25, 15, 0, 0, 100, 100, 100, 100, 90, 98, 89, 1459337, 4 
jump, 28, 28, 97, 62, 18, 27, 3, 5, 7, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1460447, 5 
jump, 28, 18, 64, 82, 34, 23, 20, 15, 6, 0, 0, 100, 100, 100, 100, 97, 100, 91, 1461558, 6 
jump, 29, 24, 96, 88, 12, 18, 10, 11, 14, 0, 0, 100, 100, 100, 100, 100, 94, 95, 1462578, 7 
jump, 27, 18, 43, 47, 33, 19, 9, 12, 12, 0, 0, 100, 100, 100, 100, 95, 91, 86, 1463692, 8 
jump, 34, 34, 81, 90, 35, 19, 24, 20, 23, 0, 0, 100, 100, 100, 100, 98, 95, 92, 1464809, 9 
jump, 25, 21, 100, 90, 22, 16, 10, 8, 20, 0, 0, 100, 100, 100, 100, 100, 100, 94, 1465833, 10 
jump, 35, 30, 43, 34, 23, 11, 13, 14, 12, 0, 0, 100, 100, 100, 100, 98, 89, 92, 1466951, 11 
jump, 32, 41, 100, 97, 29, 6, 9, 7, 4, 0, 0, 100, 100, 100, 100, 97, 89, 90, 1467978, 12 
jump, 24, 17, 77, 96, 69, 39, 15, 16, 12, 0, 0, 100, 100, 100, 100, 84, 85, 84, 1469099, 13 
jump, 32, 17, 97, 75, 29, 21, 25, 22, 12, 0, 0, 100, 100, 100, 98, 84, 96, 81, 1470132, 14 
jump, 31, 45, 100, 87, 28, 21, 11, 9, 22, 0, 0, 100, 100, 100, 95, 81, 100, 89, 1471259, 15 
jump, 31, 43, 100, 100, 6, 2, 13, 13, 17, 0, 0, 100, 100, 100, 93, 88, 100, 86, 1472295, 16 
jump, 39, 35, 59, 32, 35, 11, 24, 17, 12, 0, 0, 100, 100, 100, 88, 90, 100, 92, 1473425, 17 
jump, 40, 42, 100, 92, 34, 10, 18, 14, 27, 0, 0, 100, 100, 100, 90, 78, 96, 94, 1474464, 18 
jump, 27, 19, 85, 59, 45, 22, 11, 19, 22, 0, 0, 100, 100, 100, 88, 83, 98, 96, 1475503, 19 
jump, 32, 21, 100, 69, 26, 11, 6, 10, 9, 0, 0, 100, 100, 100, 100, 87, 100, 88, 1476635, 20 
jump, 36, 49, 100, 100, 27, 5, 6, 5, 11, 0, 0, 100, 100, 100, 100, 89, 100, 92, 1477680, 21 
jump, 29, 30, 81, 61, 18, 16, 18, 18, 14, 0, 0, 100, 100, 100, 100, 90, 100, 88, 1478729, 22 
jump, 40, 36, 62, 51, 15, 15, 13, 14, 6, 0, 0, 100, 100, 100, 100, 93, 98, 84, 1479742, 23 
jump, 34, 24, 100, 100, 28, 10, 13, 23, 17, 0, 0, 100, 100, 100, 100, 98, 100, 91, 1480799, 24 
jump, 29, 23, 100, 85, 41, 34, 7, 23, 15, 0, 0, 100, 100, 100, 100, 100, 100, 82, 1481856, 25 
jump, 34, 31, 67, 66, 44, 18, 18, 19, 19, 0, 0, 100, 100, 100, 100, 100, 100, 85, 1482915, 26 
jump, 32, 25, 100, 79, 8, 17, 7, 13, 5, 0, 0, 100, 100, 100, 100, 96, 100, 85, 1483935, 27 
jump, 30, 27, 28, 33, 42, 16, 12, 23, 5, 0, 0, 100, 100, 100, 100, 86, 90, 82, 1484997, 28 
jump, 27, 24, 46, 27, 24, 27, 6, 13, 3, 0, 0, 100, 100, 100, 90, 83, 88, 80, 1486062, 29 
jump, 32, 29, 84, 78, 51, 27, 10, 2, 13, 0, 0, 100, 100, 100, 96, 86, 92, 74, 1487129, 30 
jump, 23, 15, 54, 36, 19, 27, 14, 13, 9, 0, 0, 100, 100, 100, 100, 89, 92, 73, 1488198, 31 
jump, 34, 21, 49, 35, 17, 14, 3, 2, 18, 0, 0, 100, 100, 100, 100, 84, 89, 75, 1489270, 32 
jump, 35, 26, 59, 44, 35, 24, 12, 6, 9, 0, 0, 100, 100, 100, 100, 86, 95, 82, 1490342, 33 
jump, 49, 42, 100, 73, 11, 18, 10, 11, 16, 0, 0, 100, 100, 100, 100, 85, 100, 86, 1491416, 34 
jump, 36, 35, 100, 91, 20, 29, 10, 9, 6, 0, 0, 100, 100, 100, 92, 86, 100, 92, 1492490, 35 
jump, 28, 22, 82, 59, 30, 22, 19, 12, 20, 0, 0, 100, 100, 100, 95, 91, 100, 86, 1493567, 36 
jump, 27, 30, 100, 100, 29, 17, 29, 20, 18, 0, 0, 100, 100, 100, 98, 97, 100, 86, 1494647, 37 
jump, 22, 21, 72, 73, 16, 10, 23, 35, 20, 0, 0, 100, 100, 100, 100, 100, 100, 89, 1495727, 38 
jump, 38, 57, 100, 100, 14, 22, 8, 6, 7, 0, 0, 100, 100, 100, 100, 100, 100, 79, 1496810, 39 
jump, 20, 25, 63, 57, 32, 24, 16, 25, 14, 0, 0, 100, 100, 100, 99, 100, 100, 76, 1497893, 40 
jump, 25, 20, 24, 29, 32, 25, 22, 11, 2, 0, 0, 100, 100, 100, 99, 100, 100, 73, 1499018, 41 
jump, 35, 37, 100, 100, 15, 24, 12, 10, 15, 0, 0, 100, 100, 100, 98, 100, 100, 71, 1500103, 42 
jump, 32, 28, 98, 83, 30, 27, 13, 13, 17, 0, 0, 100, 100, 100, 100, 100, 100, 83, 1501192, 43 
jump, 32, 38, 52, 32, 30, 9, 6, 5, 17, 0, 0, 100, 100, 100, 100, 98, 100, 83, 1502195, 44 
jump, 38, 36, 100, 98, 20, 13, 13, 15, 13, 0, 0, 100, 100, 100, 100, 98, 100, 90, 1503196, 45 
jump, 36, 24, 99, 57, 56, 30, 14, 14, 5, 0, 0, 100, 100, 100, 100, 97, 95, 84, 1504295, 46 
jump, 27, 22, 77, 34, 45, 29, 14, 10, 14, 0, 0, 100, 100, 100, 100, 98, 94, 79, 1505394, 47 
jump, 34, 54, 100, 100, 35, 10, 9, 11, 18, 0, 0, 100, 100, 100, 100, 100, 100, 83, 1506396, 48 
jump, 32, 35, 86, 48, 38, 15, 21, 22, 7, 0, 0, 100, 100, 100, 100, 100, 100, 91, 1507494, 49 
jump, 42, 29, 100, 100, 20, 34, 6, 13, 9, 0, 0, 100, 100, 100, 100, 98, 100, 89, 1508503, 50 
jump, 36, 34, 100, 95, 22, 6, 12, 16, 10, 0, 0, 100, 100, 100, 100, 96, 100, 96, 1509602, 51 
jump, 33, 36, 100, 100, 20, 21, 13, 10, 6, 0, 0, 100, 100, 100, 100, 89, 100, 92, 1510627, 52 
jump, 26, 35, 100, 100, 21, 31, 19, 10, 18, 0, 0, 100, 100, 100, 100, 79, 88, 86, 1511721, 53 
jump, 33, 27, 91, 89, 29, 11, 12, 11, 5, 0, 0, 100, 100, 100, 100, 91, 86, 97, 1512829, 54 
jump, 30, 22, 32, 42, 48, 9, 15, 15, 17, 0, 0, 100, 100, 100, 100, 94, 89, 94, 1513860, 55 
jump, 23, 26, 61, 55, 31, 6, 17, 13, 13, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1514915, 56 
jump, 49, 30, 98, 93, 58, 21, 19, 22, 11, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1515976, 57 
jump, 26, 33, 79, 61, 11, 19, 1, 9, 18, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1517089, 58 
jump, 30, 20, 98, 100, 37, 23, 20, 10, 8, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1518113, 59 
jump, 32, 25, 78, 100, 51, 17, 7, 10, 20, 0, 0, 100, 100, 100, 100, 100, 100, 96, 1519140, 60 
